sr_id,subscriber_id,circle,circle_code,product,sr_category,sr_subcategory,channel,raised_date,sla_days,resolution_days,resolved_date,sla_breach_flag,reopened_flag,status,csat_score
SR300004169,JIO10029158,Tamil Nadu,TN,Wireless,Device,SIM replacement,MyJio app,2026-03-17 00:00:00,4,5.4,2026-03-22 09:36:00,TRUE,TRUE,Closed,5
SR300014059,JIO10004126,Karnataka,KA,Wireless,Billing,Refund pending,Web,2026-08-09 00:00:00,5,2.9,2026-08-11 21:36:00,FALSE,FALSE,Closed,4
SR300003160,JIO10026281,Gujarat,GJ,Wireless,Network,5G not available,MyJio app,2026-05-01 00:00:00,3,1.9,2026-05-02 21:36:00,FALSE,FALSE,Closed,3
SR300005892,JIO10038792,Madhya Pradesh & Chhattisgarh,MP,Wireless,Billing,Refund pending,MyJio app,2026-08-18 00:00:00,5,4.2,2026-08-22 04:48:00,FALSE,TRUE,Closed,2
SR300011243,JIO10037426,Gujarat,GJ,Wireless,Billing,Incorrect charge,MyJio app,2026-08-09 00:00:00,5,,,TRUE,FALSE,Open,
SR300000580,JIO10060804,Bihar & Jharkhand,BH,Wireless,Network,5G not available,Retail store,2026-05-24 00:00:00,3,4.8,2026-05-28 19:12:00,TRUE,FALSE,Closed,2
SR300005483,JIO10044071,Rajasthan,RJ,Wireless,Network,Call drop,MyJio app,2026-08-14 00:00:00,3,0.3,2026-08-14 07:12:00,FALSE,FALSE,Closed,4
SR300000647,JIO10016728,Maharashtra & Goa,MH,Wireless,Service,Value added service,WhatsApp,2026-08-23 00:00:00,4,11.5,2026-09-03 12:00:00,TRUE,FALSE,Closed,2
SR300007471,JIO10059949,Karnataka,KA,Wireless,Billing,Recharge not credited,MyJio app,2026-04-21 00:00:00,5,0.1,2026-04-21 02:24:00,FALSE,FALSE,Closed,5
SR300007346,JIO10022810,Punjab,PB,Wireless,Provisioning,Activation failure,WhatsApp,2026-03-05 00:00:00,7,13.9,2026-03-18 21:36:00,TRUE,FALSE,Closed,4
SR300009557,JIO10040734,Karnataka,KA,Wireless,Network,Call drop,MyJio app,2026-08-07 00:00:00,3,4.8,2026-08-11 19:12:00,TRUE,FALSE,Closed,2
SR300012614,JIO10014996,Karnataka,KA,Wireless,Service,Port-out enquiry,MyJio app,2026-06-14 00:00:00,4,3.5,2026-06-17 12:00:00,FALSE,FALSE,Closed,3
SR300011356,JIO10030462,Delhi NCR,DL,Wireless,Network,No coverage,MyJio app,2026-05-10 00:00:00,3,1.3,2026-05-11 07:12:00,FALSE,FALSE,Closed,5
SR300013930,JIO10001065,Bihar & Jharkhand,BH,JioFiber,Device,Router fault,MyJio app,2026-08-21 00:00:00,4,5.3,2026-08-26 07:12:00,TRUE,FALSE,Closed,2
SR300003786,JIO10025875,Delhi NCR,DL,Wireless,Service,Value added service,MyJio app,2026-06-09 00:00:00,4,10.9,2026-06-19 21:36:00,TRUE,FALSE,Closed,5
SR300004778,JIO10010567,Tamil Nadu,TN,JioAirFiber,Provisioning,Relocation pending,Retail store,2026-07-23 00:00:00,7,6.9,2026-07-29 21:36:00,FALSE,FALSE,Closed,2
SR300002844,JIO10049544,Assam,AS,Wireless,Billing,Incorrect charge,MyJio app,2026-06-23 00:00:00,5,3.5,2026-06-26 12:00:00,FALSE,FALSE,Closed,4
SR300011813,JIO10041713,Uttar Pradesh West,UPW,Wireless,Network,Call drop,WhatsApp,2026-06-03 00:00:00,3,1.9,2026-06-04 21:36:00,FALSE,FALSE,Closed,4
SR300007661,JIO10062272,Rajasthan,RJ,Wireless,Service,Port-out enquiry,MyJio app,2026-04-11 00:00:00,4,3.7,2026-04-14 16:48:00,FALSE,FALSE,Closed,3
SR300000576,JIO10007767,Uttar Pradesh East,UPE,Wireless,Network,Call drop,MyJio app,2026-05-07 00:00:00,3,2.2,2026-05-09 04:48:00,FALSE,FALSE,Closed,3
SR300002552,JIO10035588,Uttar Pradesh West,UPW,JioAirFiber,Provisioning,Engineer no-show,MyJio app,2026-05-08 00:00:00,7,1.1,2026-05-09 02:24:00,FALSE,FALSE,Closed,1
SR300005062,JIO10064382,Uttar Pradesh East,UPE,Wireless,Network,5G not available,Retail store,2026-05-18 00:00:00,3,4.2,2026-05-22 04:48:00,TRUE,FALSE,Closed,5
SR300011752,JIO10036030,Uttar Pradesh East,UPE,Wireless,Provisioning,Activation failure,MyJio app,2026-03-18 00:00:00,7,9.8,2026-03-27 19:12:00,TRUE,FALSE,Closed,4
SR300010097,JIO10028068,Karnataka,KA,Wireless,Billing,Refund pending,MyJio app,2026-07-08 00:00:00,5,10.5,2026-07-18 12:00:00,TRUE,TRUE,Closed,2
SR300002005,JIO10004128,Punjab,PB,Wireless,Network,Call drop,Call centre,2026-03-12 00:00:00,3,1.1,2026-03-13 02:24:00,FALSE,FALSE,Closed,5
SR300003430,JIO10029399,West Bengal,WB,Wireless,Network,Call drop,Call centre,2026-07-14 00:00:00,3,0.2,2026-07-14 04:48:00,FALSE,TRUE,Closed,3
SR300004419,JIO10016938,Rajasthan,RJ,Wireless,Device,SIM replacement,Retail store,2026-04-13 00:00:00,4,2.2,2026-04-15 04:48:00,FALSE,TRUE,Closed,3
SR300001992,JIO10000559,West Bengal,WB,Wireless,Billing,Recharge not credited,MyJio app,2026-08-04 00:00:00,5,10.6,2026-08-14 14:24:00,TRUE,FALSE,Closed,5
SR300011232,JIO10029237,Maharashtra & Goa,MH,Wireless,Service,Port-out enquiry,Call centre,2026-06-02 00:00:00,4,,,TRUE,FALSE,Open,
SR300004597,JIO10045214,Himachal Pradesh,HP,JioAirFiber,Provisioning,Relocation pending,WhatsApp,2026-05-24 00:00:00,7,11,2026-06-04 00:00:00,TRUE,FALSE,Closed,4
SR300004422,JIO10016394,North East,NE,Wireless,Billing,Recharge not credited,WhatsApp,2026-08-30 00:00:00,5,3.5,2026-09-02 12:00:00,FALSE,FALSE,Closed,1
SR300012126,JIO10009711,Uttar Pradesh East,UPE,Wireless,Network,5G not available,MyJio app,2026-03-19 00:00:00,3,3.9,2026-03-22 21:36:00,TRUE,FALSE,Closed,4
SR300014177,JIO10035468,Karnataka,KA,Wireless,Billing,Refund pending,Call centre,2026-04-10 00:00:00,5,5.4,2026-04-15 09:36:00,TRUE,FALSE,Closed,2
SR300004350,JIO10062031,Kerala,KL,JioFiber,Provisioning,Engineer no-show,Retail store,2026-03-19 00:00:00,7,23.1,2026-04-11 02:24:00,TRUE,TRUE,Closed,1
SR300010697,JIO10057176,Maharashtra & Goa,MH,Wireless,Provisioning,Activation failure,MyJio app,2026-06-05 00:00:00,7,18,2026-06-23 00:00:00,TRUE,FALSE,Closed,3
SR300004072,JIO10005941,Haryana,HR,Wireless,Network,Slow data,MyJio app,2026-05-20 00:00:00,3,13,2026-06-02 00:00:00,TRUE,FALSE,Closed,3
SR300009990,JIO10010234,Uttar Pradesh East,UPE,Wireless,Billing,Plan mismatch,Call centre,2026-04-30 00:00:00,5,3.4,2026-05-03 09:36:00,FALSE,FALSE,Closed,4
SR300012789,JIO10009230,Maharashtra & Goa,MH,Wireless,Billing,Recharge not credited,Web,2026-04-27 00:00:00,5,,,TRUE,TRUE,Open,
SR300008522,JIO10050494,Uttar Pradesh East,UPE,Wireless,Network,Call drop,Web,2026-03-05 00:00:00,3,2.4,2026-03-07 09:36:00,FALSE,FALSE,Closed,2
SR300005928,JIO10016515,Andhra Pradesh & Telangana,AP,Wireless,Billing,Refund pending,MyJio app,2026-04-07 00:00:00,5,2.3,2026-04-09 07:12:00,FALSE,FALSE,Closed,1
SR300001691,JIO10051298,Andhra Pradesh & Telangana,AP,Wireless,Network,No coverage,Call centre,2026-08-17 00:00:00,3,3,2026-08-20 00:00:00,FALSE,FALSE,Closed,3
SR300006285,JIO10049672,Odisha,OR,Wireless,Network,Slow data,MyJio app,2026-06-11 00:00:00,3,11.3,2026-06-22 07:12:00,TRUE,FALSE,Closed,1
SR300011896,JIO10012365,Andhra Pradesh & Telangana,AP,Wireless,Network,5G not available,Retail store,2026-03-08 00:00:00,3,7.6,2026-03-15 14:24:00,TRUE,FALSE,Closed,2
SR300003662,JIO10042421,Kolkata,KO,JioFiber,Provisioning,Engineer no-show,MyJio app,2026-07-11 00:00:00,7,7.9,2026-07-18 21:36:00,TRUE,FALSE,Closed,3
SR300012745,JIO10052613,Maharashtra & Goa,MH,Wireless,Service,Port-out enquiry,MyJio app,2026-03-25 00:00:00,4,0.8,2026-03-25 19:12:00,FALSE,FALSE,Closed,3
SR300010649,JIO10025440,Bihar & Jharkhand,BH,Wireless,Billing,Refund pending,Call centre,2026-04-04 00:00:00,5,2.6,2026-04-06 14:24:00,FALSE,FALSE,Closed,5
SR300006254,JIO10010684,Andhra Pradesh & Telangana,AP,Wireless,Billing,Refund pending,Call centre,2026-06-26 00:00:00,5,1.6,2026-06-27 14:24:00,FALSE,FALSE,Closed,4
SR300008598,JIO10013587,Tamil Nadu,TN,Wireless,Network,Slow data,Web,2026-06-17 00:00:00,3,1.4,2026-06-18 09:36:00,FALSE,FALSE,Closed,4
SR300009875,JIO10007794,Punjab,PB,Wireless,Network,Call drop,WhatsApp,2026-06-27 00:00:00,3,2,2026-06-29 00:00:00,FALSE,TRUE,Closed,2
SR300009978,JIO10049251,Punjab,PB,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-04-21 00:00:00,7,13.4,2026-05-04 09:36:00,TRUE,FALSE,Closed,3
SR300000502,JIO10002789,Bihar & Jharkhand,BH,Wireless,Billing,Recharge not credited,MyJio app,2026-06-03 00:00:00,5,2.9,2026-06-05 21:36:00,FALSE,FALSE,Closed,2
SR300011459,JIO10005108,Kerala,KL,Wireless,Device,eSIM activation,MyJio app,2026-04-25 00:00:00,4,3.9,2026-04-28 21:36:00,FALSE,TRUE,Closed,3
SR300006745,JIO10013009,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,No coverage,Call centre,2026-07-27 00:00:00,3,3.4,2026-07-30 09:36:00,TRUE,FALSE,Closed,1
SR300006911,JIO10057349,Rajasthan,RJ,JioFiber,Provisioning,Engineer no-show,MyJio app,2026-07-11 00:00:00,7,17,2026-07-28 00:00:00,TRUE,FALSE,Closed,4
SR300002463,JIO10032406,Uttar Pradesh East,UPE,Wireless,Billing,Recharge not credited,MyJio app,2026-03-28 00:00:00,5,0.3,2026-03-28 07:12:00,FALSE,FALSE,Closed,4
SR300002931,JIO10029833,Odisha,OR,Wireless,Billing,Recharge not credited,WhatsApp,2026-03-16 00:00:00,5,5.6,2026-03-21 14:24:00,TRUE,FALSE,Closed,2
SR300005427,JIO10030605,Tamil Nadu,TN,Wireless,Billing,Plan mismatch,MyJio app,2026-05-19 00:00:00,5,1.4,2026-05-20 09:36:00,FALSE,FALSE,Closed,3
SR300010178,JIO10043789,Punjab,PB,Wireless,Provisioning,Activation failure,Call centre,2026-04-07 00:00:00,7,13.2,2026-04-20 04:48:00,TRUE,FALSE,Closed,3
SR300012607,JIO10015452,Uttar Pradesh East,UPE,JioAirFiber,Provisioning,Engineer no-show,MyJio app,2026-05-03 00:00:00,7,11,2026-05-14 00:00:00,TRUE,FALSE,Closed,5
SR300001083,JIO10003859,Maharashtra & Goa,MH,Wireless,Device,eSIM activation,Web,2026-08-29 00:00:00,4,8.9,2026-09-06 21:36:00,TRUE,FALSE,Closed,4
SR300009959,JIO10004759,Odisha,OR,Wireless,Billing,Recharge not credited,MyJio app,2026-08-11 00:00:00,5,2.6,2026-08-13 14:24:00,FALSE,FALSE,Closed,1
SR300007067,JIO10034150,Bihar & Jharkhand,BH,Wireless,Service,Value added service,Call centre,2026-06-01 00:00:00,4,3.2,2026-06-04 04:48:00,FALSE,FALSE,Closed,5
SR300001914,JIO10025657,Odisha,OR,Wireless,Billing,Plan mismatch,Retail store,2026-06-01 00:00:00,5,12.7,2026-06-13 16:48:00,TRUE,FALSE,Closed,2
SR300007162,JIO10044940,Assam,AS,JioAirFiber,Provisioning,Engineer no-show,WhatsApp,2026-06-12 00:00:00,7,2.4,2026-06-14 09:36:00,FALSE,FALSE,Closed,4
SR300006648,JIO10032848,Karnataka,KA,Wireless,Device,SIM replacement,MyJio app,2026-08-04 00:00:00,4,4.6,2026-08-08 14:24:00,TRUE,FALSE,Closed,4
SR300001369,JIO10041441,Karnataka,KA,Wireless,Billing,Recharge not credited,MyJio app,2026-06-08 00:00:00,5,1.2,2026-06-09 04:48:00,FALSE,FALSE,Closed,3
SR300008727,JIO10038877,Karnataka,KA,Wireless,Billing,Plan mismatch,Call centre,2026-03-14 00:00:00,5,3.8,2026-03-17 19:12:00,FALSE,FALSE,Closed,4
SR300000238,JIO10003400,Madhya Pradesh & Chhattisgarh,MP,Wireless,Service,Plan change request,MyJio app,2026-04-22 00:00:00,4,3.7,2026-04-25 16:48:00,FALSE,FALSE,Closed,4
SR300014040,JIO10049767,Haryana,HR,JioFiber,Provisioning,Relocation pending,WhatsApp,2026-05-03 00:00:00,7,29.3,2026-06-01 07:12:00,TRUE,FALSE,Closed,2
SR300005934,JIO10000445,Uttar Pradesh East,UPE,JioFiber,Provisioning,Installation delay,Call centre,2026-05-03 00:00:00,7,4.7,2026-05-07 16:48:00,FALSE,FALSE,Closed,4
SR300009538,JIO10035449,Tamil Nadu,TN,Wireless,Network,Slow data,MyJio app,2026-08-20 00:00:00,3,1.7,2026-08-21 16:48:00,FALSE,FALSE,Closed,5
SR300009686,JIO10036342,Tamil Nadu,TN,Wireless,Network,Slow data,MyJio app,2026-08-16 00:00:00,3,4.6,2026-08-20 14:24:00,TRUE,TRUE,Closed,2
SR300010465,JIO10055420,Jammu & Kashmir,JK,Wireless,Provisioning,Activation failure,Retail store,2026-03-29 00:00:00,7,13.2,2026-04-11 04:48:00,TRUE,FALSE,Closed,2
SR300007363,JIO10006601,Madhya Pradesh & Chhattisgarh,MP,JioAirFiber,Device,Router fault,Retail store,2026-05-23 00:00:00,4,6.8,2026-05-29 19:12:00,TRUE,FALSE,Closed,4
SR300011092,JIO10002103,West Bengal,WB,Wireless,Device,eSIM activation,MyJio app,2026-08-16 00:00:00,4,1.9,2026-08-17 21:36:00,FALSE,FALSE,Closed,1
SR300006904,JIO10013471,Madhya Pradesh & Chhattisgarh,MP,Wireless,Billing,Refund pending,Retail store,2026-08-20 00:00:00,5,1.4,2026-08-21 09:36:00,FALSE,FALSE,Closed,1
SR300012680,JIO10023633,Punjab,PB,Wireless,Network,5G not available,Call centre,2026-06-25 00:00:00,3,0.9,2026-06-25 21:36:00,FALSE,FALSE,Closed,4
SR300004337,JIO10042950,Madhya Pradesh & Chhattisgarh,MP,JioAirFiber,Provisioning,Engineer no-show,MyJio app,2026-07-19 00:00:00,7,17.4,2026-08-05 09:36:00,TRUE,FALSE,Closed,2
SR300006376,JIO10030730,Tamil Nadu,TN,Wireless,Provisioning,Activation failure,Retail store,2026-08-13 00:00:00,7,46.7,2026-09-28 16:48:00,TRUE,FALSE,Closed,2
SR300011931,JIO10045665,Bihar & Jharkhand,BH,Wireless,Device,eSIM activation,MyJio app,2026-08-30 00:00:00,4,1.5,2026-08-31 12:00:00,FALSE,FALSE,Closed,4
SR300003401,JIO10025718,Mumbai,MU,JioFiber,Provisioning,Relocation pending,Call centre,2026-07-05 00:00:00,7,28,2026-08-02 00:00:00,TRUE,FALSE,Closed,3
SR300012373,JIO10010329,Rajasthan,RJ,Wireless,Billing,Incorrect charge,MyJio app,2026-05-23 00:00:00,5,4.1,2026-05-27 02:24:00,FALSE,FALSE,Closed,1
SR300013644,JIO10006732,Bihar & Jharkhand,BH,Wireless,Billing,Incorrect charge,Call centre,2026-03-26 00:00:00,5,4.1,2026-03-30 02:24:00,FALSE,FALSE,Closed,4
SR300001889,JIO10031485,Uttar Pradesh East,UPE,Wireless,Device,SIM replacement,Retail store,2026-08-29 00:00:00,4,7,2026-09-05 00:00:00,TRUE,FALSE,Closed,4
SR300004238,JIO10054868,Uttar Pradesh East,UPE,Wireless,Billing,Recharge not credited,MyJio app,2026-03-24 00:00:00,5,,,TRUE,FALSE,Open,
SR300011253,JIO10032304,Uttar Pradesh West,UPW,Wireless,Service,Value added service,WhatsApp,2026-04-05 00:00:00,4,2,2026-04-07 00:00:00,FALSE,FALSE,Closed,2
SR300005141,JIO10024155,Odisha,OR,Wireless,Network,5G not available,MyJio app,2026-06-12 00:00:00,3,7.5,2026-06-19 12:00:00,TRUE,TRUE,Closed,1
SR300005385,JIO10009553,Maharashtra & Goa,MH,Wireless,Network,Call drop,MyJio app,2026-07-17 00:00:00,3,4.1,2026-07-21 02:24:00,TRUE,FALSE,Closed,3
SR300005345,JIO10005907,Karnataka,KA,Wireless,Provisioning,Activation failure,Call centre,2026-04-05 00:00:00,7,5.5,2026-04-10 12:00:00,FALSE,FALSE,Closed,1
SR300003727,JIO10057393,Bihar & Jharkhand,BH,Wireless,Network,Slow data,MyJio app,2026-07-07 00:00:00,3,2.3,2026-07-09 07:12:00,FALSE,FALSE,Closed,1
SR300000820,JIO10037426,Gujarat,GJ,Wireless,Network,5G not available,MyJio app,2026-03-31 00:00:00,3,8.4,2026-04-08 09:36:00,TRUE,FALSE,Closed,5
SR300010595,JIO10064598,Andhra Pradesh & Telangana,AP,Wireless,Network,Call drop,Call centre,2026-03-28 00:00:00,3,1.4,2026-03-29 09:36:00,FALSE,TRUE,Closed,2
SR300008549,JIO10061890,Tamil Nadu,TN,JioFiber,Device,Router fault,Call centre,2026-08-06 00:00:00,4,4.4,2026-08-10 09:36:00,TRUE,FALSE,Closed,3
SR300001878,JIO10001203,Madhya Pradesh & Chhattisgarh,MP,Wireless,Network,Call drop,Call centre,2026-06-14 00:00:00,3,2.6,2026-06-16 14:24:00,FALSE,TRUE,Closed,4
SR300008354,JIO10000374,Uttar Pradesh East,UPE,Wireless,Network,5G not available,Call centre,2026-08-29 00:00:00,3,1.3,2026-08-30 07:12:00,FALSE,FALSE,Closed,1
SR300005861,JIO10011386,Maharashtra & Goa,MH,Wireless,Billing,Plan mismatch,MyJio app,2026-08-16 00:00:00,5,4,2026-08-20 00:00:00,FALSE,FALSE,Closed,3
SR300010008,JIO10022714,Karnataka,KA,Wireless,Network,No coverage,MyJio app,2026-06-16 00:00:00,3,2.2,2026-06-18 04:48:00,FALSE,FALSE,Closed,3
SR300001799,JIO10007741,Kerala,KL,Wireless,Billing,Plan mismatch,Call centre,2026-04-28 00:00:00,5,9.6,2026-05-07 14:24:00,TRUE,FALSE,Closed,4
SR300006550,JIO10059836,West Bengal,WB,Wireless,Device,eSIM activation,Retail store,2026-06-20 00:00:00,4,8.7,2026-06-28 16:48:00,TRUE,FALSE,Closed,3
SR300002490,JIO10014192,Karnataka,KA,Wireless,Billing,Incorrect charge,Call centre,2026-08-12 00:00:00,5,4,2026-08-16 00:00:00,FALSE,FALSE,Closed,5
SR300002373,JIO10063008,West Bengal,WB,Wireless,Service,Plan change request,MyJio app,2026-06-29 00:00:00,4,0.2,2026-06-29 04:48:00,FALSE,TRUE,Closed,3
SR300007874,JIO10046362,Gujarat,GJ,Wireless,Billing,Incorrect charge,Web,2026-04-19 00:00:00,5,8.2,2026-04-27 04:48:00,TRUE,FALSE,Closed,2
SR300013309,JIO10023310,Uttar Pradesh East,UPE,Wireless,Billing,Plan mismatch,WhatsApp,2026-04-17 00:00:00,5,3.5,2026-04-20 12:00:00,FALSE,TRUE,Closed,3
SR300000792,JIO10004249,Tamil Nadu,TN,Wireless,Billing,Refund pending,MyJio app,2026-05-26 00:00:00,5,0.1,2026-05-26 02:24:00,FALSE,FALSE,Closed,2
SR300003489,JIO10032668,Uttar Pradesh West,UPW,Wireless,Billing,Incorrect charge,MyJio app,2026-06-07 00:00:00,5,3.2,2026-06-10 04:48:00,FALSE,FALSE,Closed,4
SR300012149,JIO10043040,Tamil Nadu,TN,JioFiber,Provisioning,Relocation pending,WhatsApp,2026-07-19 00:00:00,7,16.4,2026-08-04 09:36:00,TRUE,FALSE,Closed,1
SR300006852,JIO10029218,Tamil Nadu,TN,Wireless,Device,eSIM activation,Call centre,2026-07-04 00:00:00,4,,,TRUE,FALSE,Open,
SR300010455,JIO10039850,Mumbai,MU,Wireless,Service,Port-out enquiry,MyJio app,2026-05-26 00:00:00,4,2.6,2026-05-28 14:24:00,FALSE,FALSE,Closed,4
SR300007513,JIO10036819,Tamil Nadu,TN,JioFiber,Provisioning,Installation delay,Call centre,2026-05-12 00:00:00,7,4,2026-05-16 00:00:00,FALSE,FALSE,Closed,5
SR300008829,JIO10031936,Madhya Pradesh & Chhattisgarh,MP,Wireless,Provisioning,Activation failure,Call centre,2026-06-13 00:00:00,7,4.8,2026-06-17 19:12:00,FALSE,FALSE,Closed,5
SR300008155,JIO10002355,Maharashtra & Goa,MH,Wireless,Network,5G not available,Call centre,2026-07-31 00:00:00,3,5.2,2026-08-05 04:48:00,TRUE,FALSE,Closed,5
SR300011492,JIO10016136,Bihar & Jharkhand,BH,Wireless,Network,5G not available,MyJio app,2026-04-14 00:00:00,3,,,TRUE,FALSE,Open,
SR300009563,JIO10025540,Himachal Pradesh,HP,Wireless,Network,5G not available,MyJio app,2026-04-25 00:00:00,3,3.4,2026-04-28 09:36:00,TRUE,FALSE,Closed,5
SR300005942,JIO10062068,Maharashtra & Goa,MH,Wireless,Service,Plan change request,Retail store,2026-04-28 00:00:00,4,,,TRUE,FALSE,Open,
SR300013460,JIO10042991,Kerala,KL,Wireless,Device,SIM replacement,MyJio app,2026-05-09 00:00:00,4,5.4,2026-05-14 09:36:00,TRUE,FALSE,Closed,3
SR300011310,JIO10021938,Assam,AS,Wireless,Network,Call drop,MyJio app,2026-03-07 00:00:00,3,5.3,2026-03-12 07:12:00,TRUE,FALSE,Closed,4
SR300003465,JIO10055555,Bihar & Jharkhand,BH,Wireless,Network,No coverage,Call centre,2026-04-02 00:00:00,3,6.1,2026-04-08 02:24:00,TRUE,FALSE,Closed,1
SR300005012,JIO10035227,Odisha,OR,Wireless,Billing,Refund pending,Call centre,2026-06-04 00:00:00,5,1.7,2026-06-05 16:48:00,FALSE,FALSE,Closed,2
SR300000828,JIO10042803,Gujarat,GJ,JioAirFiber,Provisioning,Installation delay,Web,2026-08-25 00:00:00,7,1.8,2026-08-26 19:12:00,FALSE,FALSE,Closed,5
SR300013804,JIO10058027,Uttar Pradesh East,UPE,Wireless,Billing,Refund pending,MyJio app,2026-08-09 00:00:00,5,1.8,2026-08-10 19:12:00,FALSE,FALSE,Closed,1
SR300013965,JIO10008915,Bihar & Jharkhand,BH,Wireless,Service,Value added service,MyJio app,2026-07-13 00:00:00,4,0.6,2026-07-13 14:24:00,FALSE,FALSE,Closed,4
SR300009757,JIO10014211,Delhi NCR,DL,Wireless,Service,Plan change request,MyJio app,2026-06-22 00:00:00,4,6.6,2026-06-28 14:24:00,TRUE,FALSE,Closed,3
SR300005070,JIO10029183,Rajasthan,RJ,Wireless,Network,No coverage,MyJio app,2026-08-08 00:00:00,3,5.1,2026-08-13 02:24:00,TRUE,FALSE,Closed,5
SR300013625,JIO10048831,West Bengal,WB,Wireless,Service,Port-out enquiry,WhatsApp,2026-06-21 00:00:00,4,3.3,2026-06-24 07:12:00,FALSE,FALSE,Closed,2
SR300013612,JIO10037525,Karnataka,KA,Wireless,Device,eSIM activation,MyJio app,2026-04-20 00:00:00,4,7.1,2026-04-27 02:24:00,TRUE,FALSE,Closed,2
SR300009982,JIO10032598,Maharashtra & Goa,MH,Wireless,Billing,Recharge not credited,MyJio app,2026-07-26 00:00:00,5,3.2,2026-07-29 04:48:00,FALSE,TRUE,Closed,4
SR300004133,JIO10011964,Delhi NCR,DL,JioFiber,Device,Router fault,MyJio app,2026-06-11 00:00:00,4,2.5,2026-06-13 12:00:00,FALSE,FALSE,Closed,4
SR300013396,JIO10004511,Karnataka,KA,Wireless,Network,Call drop,WhatsApp,2026-08-18 00:00:00,3,2.7,2026-08-20 16:48:00,FALSE,FALSE,Closed,5
SR300008673,JIO10037496,Odisha,OR,Wireless,Network,5G not available,Call centre,2026-05-23 00:00:00,3,4,2026-05-27 00:00:00,TRUE,FALSE,Closed,2
SR300007768,JIO10003243,Bihar & Jharkhand,BH,Wireless,Service,Port-out enquiry,Call centre,2026-07-07 00:00:00,4,0.6,2026-07-07 14:24:00,FALSE,FALSE,Closed,4
SR300004324,JIO10024550,West Bengal,WB,Wireless,Service,Port-out enquiry,Retail store,2026-04-11 00:00:00,4,,,TRUE,FALSE,Open,
SR300001283,JIO10053849,Karnataka,KA,Wireless,Billing,Plan mismatch,Call centre,2026-04-06 00:00:00,5,0.8,2026-04-06 19:12:00,FALSE,FALSE,Closed,1
SR300006022,JIO10022836,Kerala,KL,Wireless,Service,Plan change request,Web,2026-05-31 00:00:00,4,2.8,2026-06-02 19:12:00,FALSE,FALSE,Closed,5
SR300009510,JIO10053714,Maharashtra & Goa,MH,JioAirFiber,Provisioning,Installation delay,MyJio app,2026-06-23 00:00:00,7,6.5,2026-06-29 12:00:00,FALSE,FALSE,Closed,3
SR300013485,JIO10030291,Bihar & Jharkhand,BH,JioAirFiber,Provisioning,Relocation pending,MyJio app,2026-05-24 00:00:00,7,,,TRUE,FALSE,Open,
SR300009377,JIO10015114,Bihar & Jharkhand,BH,Wireless,Network,Slow data,Retail store,2026-08-25 00:00:00,3,1.6,2026-08-26 14:24:00,FALSE,TRUE,Closed,4
SR300012984,JIO10002586,Andhra Pradesh & Telangana,AP,Wireless,Provisioning,Activation failure,Call centre,2026-08-21 00:00:00,7,3.1,2026-08-24 02:24:00,FALSE,TRUE,Closed,5
SR300012235,JIO10024773,Tamil Nadu,TN,Wireless,Network,Call drop,Retail store,2026-03-28 00:00:00,3,2.4,2026-03-30 09:36:00,FALSE,FALSE,Closed,5
SR300001325,JIO10007923,West Bengal,WB,Wireless,Network,Call drop,Retail store,2026-07-16 00:00:00,3,1.9,2026-07-17 21:36:00,FALSE,TRUE,Closed,3
SR300001833,JIO10000611,Andhra Pradesh & Telangana,AP,JioFiber,Provisioning,Installation delay,MyJio app,2026-08-10 00:00:00,7,9.1,2026-08-19 02:24:00,TRUE,FALSE,Closed,1
SR300010102,JIO10053420,Andhra Pradesh & Telangana,AP,Wireless,Network,Slow data,Retail store,2026-05-09 00:00:00,3,2.4,2026-05-11 09:36:00,FALSE,FALSE,Closed,3
SR300012568,JIO10035935,West Bengal,WB,JioAirFiber,Provisioning,Engineer no-show,Call centre,2026-04-11 00:00:00,7,1.6,2026-04-12 14:24:00,FALSE,FALSE,Closed,5
SR300011846,JIO10021348,Gujarat,GJ,Wireless,Billing,Plan mismatch,Call centre,2026-08-14 00:00:00,5,1,2026-08-15 00:00:00,FALSE,FALSE,Closed,3
SR300003427,JIO10019699,Gujarat,GJ,Wireless,Network,Call drop,Call centre,2026-07-11 00:00:00,3,1.2,2026-07-12 04:48:00,FALSE,FALSE,Closed,2
SR300008439,JIO10021158,North East,NE,Wireless,Device,SIM replacement,MyJio app,2026-07-12 00:00:00,4,4.6,2026-07-16 14:24:00,TRUE,TRUE,Closed,2
SR300008034,JIO10005195,Bihar & Jharkhand,BH,Wireless,Device,SIM replacement,MyJio app,2026-07-08 00:00:00,4,0.1,2026-07-08 02:24:00,FALSE,FALSE,Closed,4
SR300013755,JIO10054859,North East,NE,Wireless,Network,Call drop,Call centre,2026-03-09 00:00:00,3,9.3,2026-03-18 07:12:00,TRUE,FALSE,Closed,4
SR300008645,JIO10007484,Tamil Nadu,TN,Wireless,Network,No coverage,MyJio app,2026-08-14 00:00:00,3,0.2,2026-08-14 04:48:00,FALSE,FALSE,Closed,1
SR300009020,JIO10031720,Andhra Pradesh & Telangana,AP,Wireless,Billing,Refund pending,MyJio app,2026-07-27 00:00:00,5,5.1,2026-08-01 02:24:00,TRUE,TRUE,Closed,1
